,MC1,MC2,MC3,MC4,MC5,MC6,MC7,MC8,MC9,MC10
2080,VILLE-TERRITOIRES,LOGEMENT,,,,,,,,
2081,CULTURE-MÉDIAS,ART,,,,,,,,
2082,RELATIONS-INTERNATIONALES,SITUATION,INTERNATIONALE,,,,,,,
2083,RELATIONS-INTERNATIONALES,SITUATION,INTERNATIONALE,,,,,,,
2084,DÉFENSE,POLITIQUE-DE,LA,DÉFENSE,,,,,,
2085,EDUCATION-RECHERCHE,CONCOURS,,,,,,,,
2086,CULTURE-MÉDIAS,ART,,,,,,,,
2087,VILLE-TERRITOIRES,LOGEMENT,,,,,,,,
2088,RELATIONS-INTERNATIONALES,RELATIONS-BILATÉRALES,FRANCE,AFRIQUE,MADAGASCAR,,,,,
2089,SOCIÉTÉ-POPULATION,SITUATION,SOCIALE,,,,,,,
2090,CULTURE-MÉDIAS,COMMUNICATION,,,,,,,,
2091,AMÉRIQUE,VENEZUELA,,,,,,,,
2092,AMÉRIQUE,CANADA,,,,,,,,
2093,SOCIÉTÉ-POPULATION,SITUATION,SOCIALE,,,,,,,
2094,DÉFENSE,POLITIQUE-DE,LA,DÉFENSE,,,,,,
2095,VIE,ÉCONOMIQUE,INDUSTRIE,AUTOMOBILE,,,,,,
2096,DÉFENSE,POLITIQUE-DE,LA,DÉFENSE,,,,,,
2097,SOCIÉTÉ-POPULATION,JEUNE,,,,,,,,
2098,SOCIÉTÉ-POPULATION,SITUATION,SOCIALE,,,,,,,
2099,SÉCURITÉ,ORDRE,PUBLIC,,,,,,,
2100,SANTÉ-PROTECTION,SOCIALE,SANTÉ,PUBLIQUE,,,,,,
2101,SOCIÉTÉ-POPULATION,FEMME,,,,,,,,
2102,DÉFENSE,ARMÉE,,,,,,,,
2103,CULTURE-MÉDIAS,MÉDIA,SCIENCES-NUMÉRIQUE-I.,A.,ECONOMIE,NUMÉRIQUE,,,,
2104,RELATIONS-INTERNATIONALES,RELATIONS-BILATÉRALES,FRANCE-EUROPE,MALTE,,,,,,
2105,UNION-EUROPÉENNE,CONSTITUTION-EUROPÉENNE,,,,,,,,
2106,UNION-EUROPÉENNE,CONSTRUCTION-EUROPÉENNE,,,,,,,,
2107,SOCIÉTÉ-POPULATION,SITUATION,SOCIALE,,,,,,,
2108,DÉFENSE,POLITIQUE-DE,LA,DÉFENSE,,,,,,
2109,CULTURE-MÉDIAS,PATRIMOINE,CULTUREL,COLLECTIVITÉS,TERRITORIALES,OUTRE-MER,,,,
2110,SÉCURITÉ,ORDRE,PUBLIC,,,,,,,
2111,SOCIÉTÉ-POPULATION,SITUATION,SOCIALE,,,,,,,
2112,VIE,ÉCONOMIQUE,POLITIQUE-ÉCONOMIQUE,,,,,,,
2113,UNION-EUROPÉENNE,CONSTRUCTION-EUROPÉENNE,,,,,,,,
2114,UNION-EUROPÉENNE,CONSTRUCTION-EUROPÉENNE,,,,,,,,
2115,DÉFENSE,POLITIQUE-DE,LA,DÉFENSE,,,,,,
2116,SOCIÉTÉ-POPULATION,LOISIR,,,,,,,,
2117,SOCIÉTÉ-POPULATION,SITUATION,SOCIALE,,,,,,,
2118,EDUCATION-RECHERCHE,ENSEIGNEMENT,SUPÉRIEUR,,,,,,,
2119,UNION-EUROPÉENNE,CONSTRUCTION-EUROPÉENNE,,,,,,,,
2120,EDUCATION-RECHERCHE,INNOVATION,,,,,,,,
2121,VIE,ÉCONOMIQUE,INDUSTRIE,AUTOMOBILE,,,,,,
2122,SANTÉ-PROTECTION,SOCIALE,POLITIQUE-SOCIALE,,,,,,,
2123,SOCIÉTÉ-POPULATION,SITUATION,SOCIALE,,,,,,,
2124,UNION-EUROPÉENNE,CONSTRUCTION-EUROPÉENNE,,,,,,,,
2125,SOCIÉTÉ-POPULATION,SITUATION,SOCIALE,,,,,,,
2126,SOCIÉTÉ-POPULATION,SITUATION,SOCIALE,,,,,,,
2127,VIE,ÉCONOMIQUE,POLITIQUE-INDUSTRIELLE,,,,,,,
2128,ENVIRONNEMENT,PROTECTION,DE,L'ENVIRONNEMENT,ENERGIE-TRANSPORTS,POLITIQUE-DE,L'ÉNERGIE,,,
2129,ENERGIE-TRANSPORTS,POLITIQUE-DES,TRANSPORTS,,,,,,,
2130,INSTITUTIONS-DE-L'ETAT,POLITIQUE-GOUVERNEMENTALE,,,,,,,,
2131,JUSTICE-DROITS,FONDAMENTAUX,DROIT,,,,,,,
2132,VIE,ÉCONOMIQUE,POLITIQUE-AGRICOLE,,,,,,,
2133,SOCIÉTÉ-POPULATION,SITUATION,SOCIALE,,,,,,,
2134,INSTITUTIONS-DE-L'ETAT,POLITIQUE-GOUVERNEMENTALE,,,,,,,,
2135,SOCIÉTÉ-POPULATION,SITUATION,SOCIALE,,,,,,,
2136,SOCIÉTÉ-POPULATION,SITUATION,SOCIALE,,,,,,,
2137,DÉFENSE,ARMEMENT,,,,,,,,
2138,SOCIÉTÉ-POPULATION,SITUATION,SOCIALE,,,,,,,
2139,VIE,ÉCONOMIQUE,POLITIQUE-ÉCONOMIQUE,,,,,,,
2140,SOCIÉTÉ-POPULATION,SITUATION,SOCIALE,,,,,,,
2141,ASIE,IRAK,,,,,,,,
2142,RELATIONS-INTERNATIONALES,DIPLOMATIE,,,,,,,,
2143,ASIE,JAPON,,,,,,,,
2144,RELATIONS-INTERNATIONALES,DIPLOMATIE,,,,,,,,
2145,SOCIÉTÉ-POPULATION,SITUATION,SOCIALE,,,,,,,
2146,FINANCES,PUBLIQUES,POLITIQUE-FISCALE,,,,,,,
2147,VIE,ÉCONOMIQUE,TOURISME,,,,,,,
2148,ENVIRONNEMENT,POLITIQUE-DE,L'ENVIRONNEMENT,,,,,,,
2149,SOCIÉTÉ-POPULATION,SITUATION,SOCIALE,,,,,,,
2150,RELATIONS-INTERNATIONALES,RELATIONS-BILATÉRALES,FRANCE,,,,,,,
2151,VIE,ÉCONOMIQUE,INDUSTRIE,AÉRONAUTIQUE,,,,,,
2152,SOCIÉTÉ-POPULATION,SITUATION,SOCIALE,,,,,,,
2153,SOCIÉTÉ-POPULATION,SITUATION,SOCIALE,,,,,,,
2154,SOCIÉTÉ-POPULATION,SITUATION,SOCIALE,,,,,,,
2155,SCIENCES-NUMÉRIQUE-I.,A.,ECONOMIE,NUMÉRIQUE,,,,,,
2156,EUROPE,FRANCE,ALLEMAGNE,,,,,,,
2157,SCIENCES-NUMÉRIQUE-I.,A.,ECONOMIE,NUMÉRIQUE,,,,,,
2158,SOCIÉTÉ-POPULATION,SITUATION,SOCIALE,,,,,,,
2159,DÉFENSE,ARMÉE,,,,,,,,
2160,RELATIONS-INTERNATIONALES,GUERRE,,,,,,,,
2161,EUROPE,ROUMANIE,UNION-EUROPÉENNE,INSTITUTIONS-EUROPÉENNES,,,,,,
2162,SOCIÉTÉ-POPULATION,SITUATION,SOCIALE,,,,,,,
2163,VIE,ÉCONOMIQUE,POLITIQUE-ÉCONOMIQUE,,,,,,,
2164,INSTITUTIONS-DE-L'ETAT,POLITIQUE-GOUVERNEMENTALE,,,,,,,,
2165,INSTITUTIONS-DE-L'ETAT,POLITIQUE-GOUVERNEMENTALE,,,,,,,,
2166,INSTITUTIONS-DE-L'ETAT,POLITIQUE-GOUVERNEMENTALE,,,,,,,,
2167,INSTITUTIONS-DE-L'ETAT,POLITIQUE-GOUVERNEMENTALE,,,,,,,,
2168,JUSTICE-DROITS,FONDAMENTAUX,POLITIQUE-JUDICIAIRE,,,,,,,
2169,DÉFENSE,POLITIQUE-DE,LA,DÉFENSE,,,,,,
2170,INSTITUTIONS-DE-L'ETAT,POLITIQUE-GOUVERNEMENTALE,,,,,,,,
2171,SCIENCES-NUMÉRIQUE-I.,A.,ECONOMIE,NUMÉRIQUE,,,,,,
2172,SOCIÉTÉ-POPULATION,SITUATION,SOCIALE,,,,,,,
2173,CULTURE-MÉDIAS,POLITIQUE-CULTURELLE,,,,,,,,
2174,UNION-EUROPÉENNE,CONSTRUCTION-EUROPÉENNE,,,,,,,,
2175,INSTITUTIONS-DE-L'ETAT,POLITIQUE-GOUVERNEMENTALE,,,,,,,,
2176,INSTITUTIONS-DE-L'ETAT,POLITIQUE-GOUVERNEMENTALE,VIE,ÉCONOMIQUE,POLITIQUE-ÉCONOMIQUE,,,,,
2177,VILLE-TERRITOIRES,AMÉNAGEMENT,DU,TERRITOIRE,,,,,,
2178,INSTITUTIONS-DE-L'ETAT,POLITIQUE-GOUVERNEMENTALE,SÉCURITÉ,ORDRE,PUBLIC,,,,,
2179,INSTITUTIONS-DE-L'ETAT,POLITIQUE-GOUVERNEMENTALE,FINANCES,PUBLIQUES,FISCALITÉ,,,,,
2180,VIE,ÉCONOMIQUE,TOURISME,,,,,,,
2181,EDUCATION-RECHERCHE,ENSEIGNEMENT,SECONDAIRE,ENSEIGNANT,,,,,,
2182,SOCIÉTÉ-POPULATION,SITUATION,SOCIALE,,,,,,,
2183,SOCIÉTÉ-POPULATION,SITUATION,SOCIALE,,,,,,,
2184,SOCIÉTÉ-POPULATION,SITUATION,SOCIALE,,,,,,,
2185,FINANCES,PUBLIQUES,FISCALITÉ,SOCIÉTÉ-POPULATION,SITUATION,SOCIALE,,,,
2186,SANTÉ-PROTECTION,SOCIALE,POLITIQUE-SOCIALE,,,,,,,
2187,INSTITUTIONS-DE-L'ETAT,POLITIQUE-GOUVERNEMENTALE,,,,,,,,
2188,FINANCES,PUBLIQUES,POLITIQUE-BUDGÉTAIRE,,,,,,,
2189,INSTITUTIONS-DE-L'ETAT,POLITIQUE-GOUVERNEMENTALE,FINANCES,PUBLIQUES,POLITIQUE-FISCALE,,,,,
2190,INSTITUTIONS-DE-L'ETAT,POLITIQUE-GOUVERNEMENTALE,SÉCURITÉ,ORDRE,PUBLIC,,,,,
2191,SANTÉ-PROTECTION,SOCIALE,ASSURANCE,MALADIE,SOCIÉTÉ-POPULATION,PAUVRETÉ,,,,
2192,VIE,ÉCONOMIQUE,POLITIQUE-AGRICOLE,,,,,,,
2193,SOCIÉTÉ-POPULATION,SITUATION,SOCIALE,INÉGALITÉ,SOCIALE,,,,,
2194,INSTITUTIONS-DE-L'ETAT,POLITIQUE-GOUVERNEMENTALE,,,,,,,,
2195,SÉCURITÉ,TERRORISME,,,,,,,,
2196,RELATIONS-INTERNATIONALES,RELATIONS-BILATÉRALES,FRANCE,,,,,,,
2197,RELATIONS-INTERNATIONALES,RELATIONS-BILATÉRALES,FRANCE,,,,,,,
2198,SOCIÉTÉ-POPULATION,SITUATION,SOCIALE,,,,,,,
2199,SOCIÉTÉ-POPULATION,INÉGALITÉ,SOCIALE,INSTITUTIONS-DE-L'ETAT,POLITIQUE-GOUVERNEMENTALE,,,,,
2200,RELATIONS-INTERNATIONALES,RELATIONS-BILATÉRALES,FRANCE,,,,,,,
2201,SOCIÉTÉ-POPULATION,FEMME,,,,,,,,
2202,DÉFENSE,INTERVENTION,MILITAIRE,,,,,,,
2203,FINANCES,PUBLIQUES,BUDGET,DE,L'ETAT,SOCIÉTÉ-POPULATION,SITUATION,SOCIALE,,
2204,RELATIONS-INTERNATIONALES,RELATIONS-BILATÉRALES,FRANCE,,,,,,,
2205,INSTITUTIONS-DE-L'ETAT,POLITIQUE-GOUVERNEMENTALE,,,,,,,,
2206,ADMINISTRATION-RÉFORME,DE,L'ETAT,FONCTION,PUBLIQUE,,,,,
2207,SOCIÉTÉ-POPULATION,SITUATION,SOCIALE,,,,,,,
2208,VIE,ÉCONOMIQUE,POLITIQUE-AGRICOLE,,,,,,,
2209,CULTURE-MÉDIAS,PATRIMOINE,CULTUREL,,,,,,,
2210,EMPLOI-TRAVAIL,RELATIONS-DU,TRAVAIL,,,,,,,
2211,ENVIRONNEMENT,CLIMAT,,,,,,,,
2212,INSTITUTIONS-DE-L'ETAT,POLITIQUE-GOUVERNEMENTALE,,,,,,,,
2213,FINANCES,PUBLIQUES,BUDGET,DE,L'ETAT,,,,,
2214,UNION-EUROPÉENNE,INSTITUTIONS-EUROPÉENNES,,,,,,,,
2215,EDUCATION-RECHERCHE,ENSEIGNEMENT,SUPÉRIEUR,,,,,,,
2216,INSTITUTIONS-DE-L'ETAT,POLITIQUE-GOUVERNEMENTALE,,,,,,,,
2217,INSTITUTIONS-DE-L'ETAT,POLITIQUE-GOUVERNEMENTALE,,,,,,,,
2218,SOCIÉTÉ-POPULATION,MIGRATION,,,,,,,,
2219,VIE,ÉCONOMIQUE,POLITIQUE-ÉCONOMIQUE,,,,,,,
2220,SÉCURITÉ,VIOLENCE,,,,,,,,
2221,SCIENCES-NUMÉRIQUE-I.,A.,TÉLÉCOMMUNICATIONS,,,,,,,
2222,VIE,ÉCONOMIQUE,POLITIQUE-AGRICOLE,,,,,,,
2223,VIE,ÉCONOMIQUE,POLITIQUE-AGRICOLE,,,,,,,
2224,RELATIONS-INTERNATIONALES,SOMMET,INTERNATIONAL,,,,,,,
2225,EMPLOI-TRAVAIL,RELATIONS-DU,TRAVAIL,SOCIÉTÉ-POPULATION,NIVEAU,DE,VIE,,,
2226,ENVIRONNEMENT,CLIMAT,,,,,,,,
2227,VIE,ÉCONOMIQUE,STRUCTURE,D'ENTREPRISE,,,,,,
2228,EDUCATION-RECHERCHE,ETABLISSEMENT,SCOLAIRE,,,,,,,
2229,VIE,ÉCONOMIQUE,POLITIQUE-INDUSTRIELLE,,,,,,,
2230,RELATIONS-INTERNATIONALES,AIDE,INTERNATIONALE,,,,,,,
2231,UNION-EUROPÉENNE,CONSTRUCTION-EUROPÉENNE,,,,,,,,
2232,FINANCES,PUBLIQUES,BUDGET,DE,L'ETAT,,,,,
2233,RELATIONS-INTERNATIONALES,AIDE,INTERNATIONALE,,,,,,,
2234,UNION-EUROPÉENNE,RELATIONS-BILATÉRALES-EUROPE,,,,,,,,
2235,PAS,DE,MOTS,CLE,,,,,,
2236,PAS,DE,MOTS,CLE,,,,,,
2237,INSTITUTIONS-DE-L'ETAT,POLITIQUE-GOUVERNEMENTALE,,,,,,,,
2238,VIE,ÉCONOMIQUE,POLITIQUE-ÉCONOMIQUE,,,,,,,
2239,SÉCURITÉ,TERRORISME,,,,,,,,
2240,CULTURE-MÉDIAS,ART,,,,,,,,
2241,INSTITUTIONS-DE-L'ETAT,PARLEMENT,,,,,,,,
2242,SOCIÉTÉ-POPULATION,MIGRATION,,,,,,,,
2243,RELATIONS-INTERNATIONALES,AIDE,INTERNATIONALE,,,,,,,
2244,SÉCURITÉ,TERRORISME,,,,,,,,
2245,EMPLOI-TRAVAIL,EMPLOI,,,,,,,,
2246,RELATIONS-INTERNATIONALES,COOPÉRATION,,,,,,,,
2247,SOCIÉTÉ-POPULATION,NIVEAU,DE,VIE,,,,,,
2248,SÉCURITÉ,TERRORISME,,,,,,,,
2249,UNION-EUROPÉENNE,RELATIONS-BILATÉRALES-EUROPE,,,,,,,,
2250,INSTITUTIONS-DE-L'ETAT,POLITIQUE-GOUVERNEMENTALE,,,,,,,,
2251,SÉCURITÉ,TERRORISME,,,,,,,,
2252,SÉCURITÉ,TERRORISME,,,,,,,,
2253,EMPLOI-TRAVAIL,SALAIRE,,,,,,,,
2254,EMPLOI-TRAVAIL,RELATIONS-DU,TRAVAIL,,,,,,,
2255,EMPLOI-TRAVAIL,RELATIONS-DU,TRAVAIL,,,,,,,
2256,EDUCATION-RECHERCHE,HISTOIRE,,,,,,,,
2257,EMPLOI-TRAVAIL,RELATIONS-DU,TRAVAIL,,,,,,,
2258,PAS,DE,MOTS,CLE,,,,,,
2259,INSTITUTIONS-DE-L'ETAT,POLITIQUE-GOUVERNEMENTALE,,,,,,,,
2260,SÉCURITÉ,CRIMINALITÉ,,,,,,,,
2261,UNION-EUROPÉENNE,RELATIONS-BILATÉRALES-EUROPE,,,,,,,,
2262,SCIENCES-NUMÉRIQUE-I.,A.,ECONOMIE,NUMÉRIQUE,,,,,,
2263,SOCIÉTÉ-POPULATION,IMMIGRATION,,,,,,,,
2264,INSTITUTIONS-DE-L'ETAT,POLITIQUE-GOUVERNEMENTALE,,,,,,,,
2265,ENVIRONNEMENT,CLIMAT,,,,,,,,
2266,INSTITUTIONS-DE-L'ETAT,POLITIQUE-GOUVERNEMENTALE,,,,,,,,
2267,EMPLOI-TRAVAIL,RELATIONS-DU,TRAVAIL,,,,,,,
2268,JUSTICE-DROITS,FONDAMENTAUX,DROITS,DE,L'HOMME,,,,,
2269,UNION-EUROPÉENNE,RELATIONS-BILATÉRALES-EUROPE,,,,,,,,
2270,INSTITUTIONS-DE-L'ETAT,POLITIQUE-GOUVERNEMENTALE,,,,,,,,
2271,INSTITUTIONS-DE-L'ETAT,POLITIQUE-GOUVERNEMENTALE,,,,,,,,
2272,CULTURE-MÉDIAS,ART,,,,,,,,
2273,INSTITUTIONS-DE-L'ETAT,POLITIQUE-GOUVERNEMENTALE,,,,,,,,
2274,INSTITUTIONS-DE-L'ETAT,POLITIQUE-GOUVERNEMENTALE,,,,,,,,
2275,ENVIRONNEMENT,POLITIQUE-DE,L'ENVIRONNEMENT,,,,,,,
2276,RELATIONS-INTERNATIONALES,RELATIONS-BILATÉRALES,FRANCE,,,,,,,
2277,INSTITUTIONS-DE-L'ETAT,POLITIQUE-GOUVERNEMENTALE,,,,,,,,
2278,INSTITUTIONS-DE-L'ETAT,POLITIQUE-GOUVERNEMENTALE,,,,,,,,
2279,EMPLOI-TRAVAIL,RELATIONS-DU,TRAVAIL,,,,,,,
2280,EMPLOI-TRAVAIL,RELATIONS-DU,TRAVAIL,,,,,,,
2281,EMPLOI-TRAVAIL,RELATIONS-DU,TRAVAIL,ENERGIE-TRANSPORTS,CARBURANT,,,,,
2282,EMPLOI-TRAVAIL,RELATIONS-DU,TRAVAIL,,,,,,,
2283,VIE,ÉCONOMIQUE,CONSOMMATION,,,,,,,
2284,SANTÉ-PROTECTION,SOCIALE,SANTÉ,PUBLIQUE,,,,,,
2285,SÉCURITÉ,TERRORISME,,,,,,,,
2286,VIE,ÉCONOMIQUE,POLITIQUE-ÉCONOMIQUE,,,,,,,
2287,SCIENCES-NUMÉRIQUE-I.,A.,ECONOMIE,NUMÉRIQUE,,,,,,
2288,EDUCATION-RECHERCHE,PROGRAMME,SCOLAIRE,,,,,,,
2289,INSTITUTIONS-DE-L'ETAT,POLITIQUE-GOUVERNEMENTALE,,,,,,,,
2290,INSTITUTIONS-DE-L'ETAT,POLITIQUE-GOUVERNEMENTALE,,,,,,,,
2291,SÉCURITÉ,VIOLENCE,,,,,,,,
2292,INSTITUTIONS-DE-L'ETAT,POLITIQUE-GOUVERNEMENTALE,,,,,,,,
2293,SOCIÉTÉ-POPULATION,POLITIQUE-DE,L'IMMIGRATION,,,,,,,
2294,FINANCES,PUBLIQUES,BUDGET,DE,L'ETAT,,,,,
2295,SANTÉ-PROTECTION,SOCIALE,SANTÉ,PUBLIQUE,,,,,,
2296,FINANCES,PUBLIQUES,BUDGET,DE,L'ETAT,,,,,
2297,EMPLOI-TRAVAIL,RELATIONS-DU,TRAVAIL,,,,,,,
2298,SOCIÉTÉ-POPULATION,PERSONNE,ÂGÉE,,,,,,,
2299,INSTITUTIONS-DE-L'ETAT,POLITIQUE-GOUVERNEMENTALE,EMPLOI-TRAVAIL,RELATIONS-DU,TRAVAIL,,,,,
2300,EMPLOI-TRAVAIL,RELATIONS-DU,TRAVAIL,,,,,,,
2301,FINANCES,PUBLIQUES,TAXE,,,,,,,
2302,SÉCURITÉ,VIOLENCE,,,,,,,,
2303,EMPLOI-TRAVAIL,RELATIONS-DU,TRAVAIL,,,,,,,
2304,VIE,ÉCONOMIQUE,POLITIQUE-AGRICOLE,,,,,,,
2305,INSTITUTIONS-DE-L'ETAT,POLITIQUE-GOUVERNEMENTALE,,,,,,,,
2306,SANTÉ-PROTECTION,SOCIALE,SOIN,MÉDICAL,,,,,,
2307,SOCIÉTÉ-POPULATION,SITUATION,SOCIALE,,,,,,,
2308,EDUCATION-RECHERCHE,HISTOIRE,,,,,,,,
2309,SOCIÉTÉ-POPULATION,SITUATION,SOCIALE,FINANCES,PUBLIQUES,POLITIQUE-FISCALE,ENERGIE-TRANSPORTS,POLITIQUE-DE,L'ÉNERGIE,
2310,FINANCES,PUBLIQUES,BUDGET,DE,L'ETAT,,,,,
2311,EMPLOI-TRAVAIL,RELATIONS-DU,TRAVAIL,,,,,,,
2312,SOCIÉTÉ-POPULATION,SITUATION,SOCIALE,,,,,,,
2313,FINANCES,PUBLIQUES,BUDGET,DE,L'ETAT,,,,,
2314,EMPLOI-TRAVAIL,RELATIONS-DU,TRAVAIL,,,,,,,
2315,SÉCURITÉ,VIOLENCE,,,,,,,,
2316,UNION-EUROPÉENNE,CONSTRUCTION-EUROPÉENNE,,,,,,,,
2317,UNION-EUROPÉENNE,CONSTRUCTION-EUROPÉENNE,,,,,,,,
2318,FINANCES,PUBLIQUES,BUDGET,DE,L'ETAT,,,,,
2319,FINANCES,PUBLIQUES,BUDGET,DE,L'ETAT,,,,,
2320,FINANCES,PUBLIQUES,POLITIQUE-FISCALE,ENERGIE-TRANSPORTS,POLITIQUE-DE,L'ÉNERGIE,,,,
2321,LOI,,,,,,,,,
2322,CULTURE-MÉDIAS,MÉDIA,,,,,,,,
2323,SANTÉ-PROTECTION,SOCIALE,SÉCURITÉ,SOCIALE,,,,,,
2324,EMPLOI-TRAVAIL,RELATIONS-DU,TRAVAIL,,,,,,,
2325,VIE,ÉCONOMIQUE,POLITIQUE-ÉCONOMIQUE,,,,,,,
2326,FINANCES,PUBLIQUES,TAXE,,,,,,,
2327,FINANCES,PUBLIQUES,BUDGET,DE,L'ETAT,,,,,
2328,FINANCES,PUBLIQUES,BUDGET,DE,L'ETAT,,,,,
2329,LOI,,,,,,,,,
2330,SOCIÉTÉ-POPULATION,SITUATION,SOCIALE,,,,,,,
2331,INSTITUTIONS-DE-L'ETAT,POLITIQUE-GOUVERNEMENTALE,,,,,,,,
2332,SÉCURITÉ,ORDRE,PUBLIC,,,,,,,
2333,EMPLOI-TRAVAIL,RELATIONS-DU,TRAVAIL,,,,,,,
2334,FINANCES,PUBLIQUES,BUDGET,DE,L'ETAT,,,,,
2335,FINANCES,PUBLIQUES,BUDGET,DE,L'ETAT,,,,,
2336,PAS,DE,MOTS,CLE,,,,,,
2337,SÉCURITÉ,VIOLENCE,,,,,,,,
2338,FINANCES,PUBLIQUES,BUDGET,DE,L'ETAT,,,,,
2339,FINANCES,PUBLIQUES,BUDGET,DE,L'ETAT,,,,,
2340,FINANCES,PUBLIQUES,BUDGET,DE,L'ETAT,,,,,
2341,RELATIONS-INTERNATIONALES,SOMMET,INTERNATIONAL,,,,,,,
2342,FINANCES,PUBLIQUES,BUDGET,DE,L'ETAT,,,,,
2343,DÉFENSE,ARMEMENT,,,,,,,,
2344,UNION-EUROPÉENNE,CONSTRUCTION-EUROPÉENNE,,,,,,,,
2345,ENERGIE-TRANSPORTS,CARBURANT,,,,,,,,
2346,ENERGIE-TRANSPORTS,CARBURANT,,,,,,,,
2347,INSTITUTIONS-DE-L'ETAT,POLITIQUE-GOUVERNEMENTALE,,,,,,,,
2348,ENVIRONNEMENT,CLIMAT,,,,,,,,
2349,SCIENCES-NUMÉRIQUE-I.,A.,ECONOMIE,NUMÉRIQUE,,,,,,
2350,EMPLOI-TRAVAIL,RELATIONS-DU,TRAVAIL,,,,,,,
2351,PAS,DE,MOTS,CLE,,,,,,
2352,ENERGIE-TRANSPORTS,CARBURANT,,,,,,,,
2353,EDUCATION-RECHERCHE,POLITIQUE-DE,LA,RECHERCHE,,,,,,
2354,JUSTICE-DROITS,FONDAMENTAUX,POLITIQUE-JUDICIAIRE,,,,,,,
2355,VILLE-TERRITOIRES,AMÉNAGEMENT,DU,TERRITOIRE,,,,,,
2356,UNION-EUROPÉENNE,CONSTRUCTION-EUROPÉENNE,,,,,,,,
2357,VIE,ÉCONOMIQUE,ASSOCIATION,,,,,,,
2358,PAS,DE,MOTS,CLE,,,,,,
2359,SOCIÉTÉ-POPULATION,SITUATION,SOCIALE,,,,,,,
2360,ENERGIE-TRANSPORTS,ELECTRICITÉ,,,,,,,,
2361,RELATIONS-INTERNATIONALES,RELATIONS-BILATÉRALES,FRANCE,,,,,,,
2362,ENERGIE-TRANSPORTS,POLITIQUE-DES,TRANSPORTS,POLITIQUE-DE,L'ÉNERGIE,,,,,
2363,FINANCES,PUBLIQUES,POLITIQUE-FISCALE,ENERGIE-TRANSPORTS,CARBURANT,,,,,
2364,SÉCURITÉ,TERRORISME,,,,,,,,
2365,EDUCATION-RECHERCHE,ETUDIANT,,,,,,,,
2366,PAS,DE,MOTS,CLE,,,,,,
2367,INSTITUTIONS-DE-L'ETAT,POLITIQUE-GOUVERNEMENTALE,,,,,,,,
2368,ENERGIE-TRANSPORTS,POLITIQUE-DE,L'ÉNERGIE,,,,,,,
2369,SANTÉ-PROTECTION,SOCIALE,MÉDICAMENT,,,,,,,
2370,RELATIONS-INTERNATIONALES,RELATIONS-BILATÉRALES,FRANCE,,,,,,,
2371,INSTITUTIONS-DE-L'ETAT,POLITIQUE-GOUVERNEMENTALE,,,,,,,,
2372,SOCIÉTÉ-POPULATION,JEUNE,,,,,,,,
2373,EMPLOI-TRAVAIL,RELATIONS-DU,TRAVAIL,,,,,,,
2374,ENERGIE-TRANSPORTS,POLITIQUE-DES,TRANSPORTS,,,,,,,
2375,ENVIRONNEMENT,CLIMAT,,,,,,,,
2376,UNION-EUROPÉENNE,RELATIONS-BILATÉRALES-EUROPE,,,,,,,,
2377,ENERGIE-TRANSPORTS,CARBURANT,,,,,,,,
2378,UNION-EUROPÉENNE,RELATIONS-BILATÉRALES-EUROPE,,,,,,,,
2379,UNION-EUROPÉENNE,RELATIONS-BILATÉRALES-EUROPE,,,,,,,,
2380,FINANCES,PUBLIQUES,POLITIQUE-FISCALE,,,,,,,
2381,SANTÉ-PROTECTION,SOCIALE,SANTÉ,PUBLIQUE,,,,,,
2382,FINANCES,PUBLIQUES,TAXE,ENERGIE-TRANSPORTS,CARBURANT,,,,,
2383,INSTITUTIONS-DE-L'ETAT,POLITIQUE-GOUVERNEMENTALE,,,,,,,,
2384,VIE,ÉCONOMIQUE,POLITIQUE-INDUSTRIELLE,,,,,,,
2385,ENERGIE-TRANSPORTS,CARBURANT,,,,,,,,
2386,ENERGIE-TRANSPORTS,POLITIQUE-DE,L'ÉNERGIE,,,,,,,
2387,ENERGIE-TRANSPORTS,CARBURANT,,,,,,,,
2388,SOCIÉTÉ-POPULATION,SPORT,,,,,,,,
2389,SANTÉ-PROTECTION,SOCIALE,MALADIE,,,,,,,
2390,ENERGIE-TRANSPORTS,CARBURANT,,,,,,,,
2391,VIE,ÉCONOMIQUE,POLITIQUE-INDUSTRIELLE,,,,,,,
2392,EDUCATION-RECHERCHE,INNOVATION,,,,,,,,
2393,VIE,ÉCONOMIQUE,POLITIQUE-INDUSTRIELLE,,,,,,,
2394,FINANCES,PUBLIQUES,FINANCES,LOCALES,,,,,,
2395,SÉCURITÉ,VIOLENCE,,,,,,,,
2396,VIE,ÉCONOMIQUE,POLITIQUE-ÉCONOMIQUE,,,,,,,
2397,PAS,DE,MOTS,CLE,,,,,,
2398,INSTITUTIONS-DE-L'ETAT,POLITIQUE-GOUVERNEMENTALE,,,,,,,,
2399,CULTURE-MÉDIAS,MÉDIA,,,,,,,,
2400,FINANCES,PUBLIQUES,BUDGET,DE,L'ETAT,,,,,
2401,FINANCES,PUBLIQUES,BUDGET,DE,L'ETAT,,,,,
2402,JUSTICE-DROITS,FONDAMENTAUX,POLITIQUE-JUDICIAIRE,,,,,,,
2403,FINANCES,PUBLIQUES,FISCALITÉ,,,,,,,
2404,COLLECTIVITÉS,TERRITORIALES,COLLECTIVITÉ,LOCALE,,,,,,
